user	build	chip	chip_version	inferred_sex	source
2064	37	HTS iSelect HD	v4	Female	23andMe
2116	37	HTS iSelect HD	v4	Female	23andMe
2571	37	OmniExpress	v1	Female	AncestryDNA
2699	37	HTS iSelect HD	v4	Male	23andMe
2159	37	HTS iSelect HD	v4	Female	23andMe
2628	37	HTS iSelect HD	v4	Male	23andMe
2681	37	OmniExpress plus	v3	Female	23andMe
2576	37	HTS iSelect HD	v4	Female	23andMe
2212	37			Male	23andMe
2673	37	OmniExpress	v1	Male	AncestryDNA
2158	37	OmniExpress plus	v3	Female	23andMe
2334	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
2629	37				23andMe
2542	37	OmniExpress plus	v3	Male	23andMe
2048	37	OmniExpress plus	v3	Female	23andMe
2083	37	HTS iSelect HD	v4	Female	23andMe
2361	37	HTS iSelect HD	v4	Female	23andMe
204	37	OmniExpress plus	v3	Male	23andMe
2304	37			Male	23andMe
2554	37	HTS iSelect HD	v4	Female	23andMe
2636	37	OmniExpress	v1	Female	AncestryDNA
2535	37	HTS iSelect HD	v4	Male	23andMe
2513	37	OmniExpress plus	v3	Female	23andMe
2177	37	HTS iSelect HD	v4	Male	23andMe
2217	37	OmniExpress plus	v3	Male	23andMe
2568	37	HTS iSelect HD	v4	Male	23andMe
2053	37	OmniExpress			FTDNA
2101	37	OmniExpress	v1	Male	AncestryDNA
262	37			Male	23andMe
2651	37	OmniExpress			FTDNA
2316	37				23andMe
2406	37	HTS iSelect HD	v4	Male	23andMe
2453	37	HTS iSelect HD	v4	Female	23andMe
2297	37	HTS iSelect HD	v4	Female	23andMe
2648	37	HTS iSelect HD	v4	Female	23andMe
2028	37				FTDNA
2660	37			Male	23andMe
2249	37	OmniExpress plus	v3	Male	23andMe
2367	37	HTS iSelect HD	v4	Male	23andMe
2412	37	OmniExpress plus	v3	Female	23andMe, 23andMe
2371	37	OmniExpress plus	v3	Male	23andMe
2314	37	HTS iSelect HD	v4	Female	23andMe
2202	37	HTS iSelect HD	v4	Female	23andMe
2096	37	OmniExpress plus	v3	Female	23andMe
2454	37	HTS iSelect HD	v4	Female	23andMe
user	build	chip	chip_version	inferred_sex	source
328	37	OmniExpress plus	v3	Male	23andMe
3335	37	OmniExpress plus	v3	Male	23andMe
287	37	OmniExpress plus	v3	Male	23andMe
3267	37	OmniExpress			FTDNA
2760	37	OmniExpress plus	v3	Female	23andMe
3341	37	OmniExpress plus	v3	Female	23andMe
2849	37	OmniExpress plus	v3	Male	23andMe
323	37	OmniExpress plus	v3	Male	23andMe
